,kcat,data_type,MW,kcat_MW
FE2Gabcpp_num1,6455.7993281475,fill,120191.37680000003,193365.59909787966
FE2t3pp_num1,6455.7993281475,fill,32749.71380000005,709651.3185813235
FE2t4pp_num1,6455.7993281475,fill,41847.98180000007,555364.3588453999
FE2tex,6455.7993281475,fill,26370.112100000006,881334.0456497717
FE3Gabcpp_num1,6455.7993281475,fill,34895.75939999999,666008.6492151539
FE3tex,6455.7993281475,fill,26370.112100000006,881334.0456497717
FEENTER2tpp_num1,6455.7993281475,fill,33858.483900000036,686412.2342267953
FEENTERtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
FEENTERtpp,6455.7993281475,fill,46516.00880000008,499631.8080783182
FEROpp_num1,0.5783332941666667,Other_species,37617.703300000016,55.34627785210904
FLDR_num1,63.7125,Other_species,81782.5398000004,2804.5717406296408
FLNDPR2r,6455.7993281475,fill,351784.02520000236,66065.75602208683
FLVR,31.032688888888888,Other_species,118448.09230000076,943.1783816074113
FMNAT,0.12754360833333334,Other_species,37680.181700000045,12.185636302279281
FMNRx_num1,35.44804,Other_species,21190.690800000004,6022.1228842619885
FMNRx2_num1,20.425,Other_species,21190.690800000004,3469.9199140784963
FOLD3_num1,0.042133333333333335,Other_species,30812.497500000038,4.922677884192926
FOMETRi,15.391666666666666,Other_species,89722.01090000075,617.5742099868555
FORAMD,60.7,Other_species,51728.95000000014,4224.326996778388
FORCT,4.65,Other_species,45659.03490000008,366.6306139992454
FORtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
FRD2_num1,6455.7993281475,fill,169453.50410000043,137151.9444508846
FRD2rpp_num1,6455.7993281475,fill,169453.50410000043,137151.9444508846
FRDO_num1,233.84583333333333,Other_species,81782.5398000004,10293.70085667107
FRNDPR2r,6455.7993281475,fill,351784.02520000236,66065.75602208683
FRUptspp,6455.7993281475,fill,57215.23720000018,406200.8429693433
FRUt3,6455.7993281475,fill,202258.2152000003,114906.96463602022
FTHFCL,1.628,Other_species,24150.12529999998,242.68197068112124
FUM_num1,442.42727272727274,Other_species,212027.6944000005,7511.934638186482
FUMAC,0.1,Other_species,43993.20630000005,8.18308166822566
FUTH,1.02,Other_species,51049.308599999946,71.93045509729008
FUTS,6455.7993281475,fill,130468.2892000001,178134.30162868253
G1PACT_num1,686.5308333333334,Other_species,26811.23250000001,92181.92412452502
G1PTT,11.57375,Other_species,30552.39480000001,1363.7392509735437
G1SAT_num1,0.51,Other_species,47306.04820000011,38.811104919137925
G3PAT120_num1,0.1149975,Other_species,26157.168099999984,15.827057364057703
G3PAT140_num1,0.1149975,Other_species,26157.168099999984,15.827057364057703
G3PAT141_num1,0.1149975,Other_species,26157.168099999984,15.827057364057703
G3PAT160_num1,0.1149975,Other_species,26157.168099999984,15.827057364057703
G3PAT161_num1,0.1149975,Other_species,26157.168099999984,15.827057364057703
G3PAT180_num1,0.1149975,Other_species,26157.168099999984,15.827057364057703
G3PAT181_num1,0.1149975,Other_species,26157.168099999984,15.827057364057703
G3PCabcpp_num1,6455.7993281475,fill,29889.036900000017,777571.9792875289
G3PCT,10.700000000000001,Other_species,82500.5552,466.9059487735424
G3PCtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
G3PD1_num1,1846.087502775,Other_species,70039.29760000003,94888.37320935665
G3PEabcpp_num1,6455.7993281475,fill,29889.036900000017,777571.9792875289
G3PEtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
G3PGabcpp,6455.7993281475,fill,46036.192900000045,504839.2605317061
G3PIabcpp_num1,6455.7993281475,fill,29889.036900000017,777571.9792875289
G3PItex,6455.7993281475,fill,26370.112100000006,881334.0456497717
G3PSabcpp_num1,6455.7993281475,fill,59500.740900000186,390598.1207929955
G3PStex,6455.7993281475,fill,26370.112100000006,881334.0456497717
G3PT,35.157222222222224,Other_species,23384.92289999999,5412.290668702613
G6PDA,258.72846153846154,Other_species,61473.11460000005,15151.704409303848
G6PDH2r,483.7785714285714,Other_species,113944.75720000025,15284.624759750273
GALBDtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
GALCTNt2r,6455.7993281475,fill,45949.540500000025,505791.29472102097
GALKr,34.46642857142857,Other_species,38423.0604000001,3229.2883899779767
GALM2pp,3389.9285714285716,Other_species,32749.71380000005,372636.6261296256
GALS3,196.9864814814815,Other_species,156257.08020000078,4538.362885225151
GALT,260.231625,Other_species,38940.40930000008,24058.140806444942
GALUi_num1,218.06091666666666,Other_species,32986.02540000002,23798.541669709608
GALURt2rpp,6455.7993281475,fill,50749.226900000125,457955.30298671295
GALURtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
GAMpts_num1,6455.7993281475,fill,46546.06530000006,499309.17751131527
GAPD_num1,39.63676923076923,Other_species,55590.51430000008,2566.847438408553
GARFT,6.3756,Other_species,46650.667799999996,492.00067399678255
GCCa,0.02089142857142857,Other_species,102387.24580000072,0.7345557766448126
GCCb,15.391666666666666,Other_species,39286.03870000003,1410.4247166054938
GCCc_num1,233.28636363636363,Other_species,49401.82590000001,16999.99734404369
GDPDPK,73.0,Other_species,81724.37880000044,3215.686724803818
GDPTPDP_num1,2.2640000000000002,Other_species,81724.37880000044,99.73033897199787
GF6PTA_num1,11.307922666666666,Other_species,50387.87219999992,807.9031684136102
GGPTRCO_num1,6455.7993281475,fill,51184.515900000086,454060.70903819887
GGPTRCS,5.94,Other_species,48626.51880000007,439.76004303232105
GGTAe2,4.6499999999999995,Other_species,63153.45810000016,265.06862020909597
GHBDHx,1329.0,Other_species,30388.26500000001,157442.35480373751
GHMT2r_num1,57.49641,Other_species,90249.38980000014,2293.5011135111263
GK1,334.64,Other_species,41764.992800000015,28844.827192212506
GLBRAN2,500.075,Other_species,83212.20470000038,21634.68696076973
GLCDpp_num1,6455.7993281475,fill,39042.05010000004,595278.1045514559
GLCNt2ir,6455.7993281475,fill,49761.337900000064,467046.87940737564
GLCNt2rpp_num1,6455.7993281475,fill,49761.337900000064,467046.87940737564
GLCP_num1,6455.7993281475,fill,108526.62920000071,214149.07799726308
GLCptspp_num1,6455.7993281475,fill,46546.06530000006,499309.17751131527
GLCRD,14.629999999999999,Other_species,48427.39310000008,1087.5662848760676
GLCRD_1,14.629999999999999,Other_species,48427.39310000008,1087.5662848760676
GLCRt2r,6455.7993281475,fill,45187.75750000005,514318.0114952811
GLCt2pp,6455.7993281475,fill,202258.2152000003,114906.96463602022
GLCTR4N,6455.7993281475,fill,93564.6278000006,248393.84421011776
GLCURt2rpp_num1,6455.7993281475,fill,49761.337900000064,467046.87940737564
GLCURtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
GLDBRAN2,500.075,Other_species,87676.41040000047,20533.117081170905
GLNS_num1,49.18,Other_species,48626.51880000007,3640.976248540328
GLNtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
GLS,6455.7993281475,fill,552371.6675999998,42074.70973721428
GLS2,6455.7993281475,fill,552371.6675999998,42074.70973721428
GLU5K,12.35,Other_species,466688.04600000044,95.26706411502975
GLUDC_num1,29.899659090936364,Other_species,49237.06670000013,2186.132926707647
GLU_Dt2_num1,6455.7993281475,fill,23767.747300000014,977832.5765576861
GLUDxi_num1,82.96235882352941,Other_species,539166.8388000015,553.9370567177862
GLUR,63.73473333333333,Other_species,25554.796599999976,8978.550821257571
GLUSy,16.816666666666666,Other_species,217015.46260000006,278.96629703103923
GLUt2rpp,6455.7993281475,fill,47206.03890000012,492328.4842976084
GLUTCOADHc,6.576781724137931,Other_species,42935.64480000005,551.4395863200481
GLUTRR,0.14333333333333334,Other_species,114986.98060000052,4.487464557357006
GLUTRS,1.151857142857143,Other_species,52407.64560000016,79.1236787459443
GLXCL,18.9,Other_species,116598.81820000039,583.5393621510974
GLXO1_num1,6455.7993281475,fill,110677.52040000018,209987.33525413316
GLYabcpp_num1,6455.7993281475,fill,64100.62350000013,362568.6664550299
GLYALDDr_num1,27.674145833333334,Other_species,110677.52040000018,900.1550146763121
GLYAT,39.93445454545454,Other_species,90297.81740000017,1592.1097597164742
GLYATi,3.5790714285714285,Other_species,90297.81740000017,142.69068194395933
GLYBabcpp_num1,6455.7993281475,fill,34862.442100000015,666645.1396223614
GLYBtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
GLYC2Pabcpp,6455.7993281475,fill,46036.192900000045,504839.2605317061
GLYC2Ptex,6455.7993281475,fill,26370.112100000006,881334.0456497717
GLYCK,275.0,Other_species,41046.13570000004,24119.201067690254
GLYCK2,133.22857142857143,Other_species,41046.13570000004,11684.969826352171
GLYCL_num1,0.02089142857142857,Other_species,157937.09120000072,0.4761968343579479
GLYCL_2_num1,179.72,Other_species,157937.09120000072,4096.517132765815
GLYCLTDx,112141.746875,Other_species,30671.992000000013,13162180.29627811
GLYCtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
GLYCTO1_num1,2.106666666666667,Other_species,105210.77380000096,72.08387245983673
